ITERATION,STRATEGY_1_COST,STRATEGY_1_EFF,STRATEGY_2_COST,STRATEGY_2_EFF,STRATEGY_4_COST,STRATEGY_4_EFF,u_disutility_delta,t_max_fail,p_allo_success_de,u_disutility_off,p_hyper_D,p_die_hyper_D,p_allo_ae,p_flare,p_flare_uncon,p_flare_uncon_off,p_stop_low,p_stop_med,p_stop_hi,p_sto_ae_allo,u_flare,u_flare_ae,u_hyper
19,27923.32567,14.56393056,30734.02979,14.57436054,26142.2541,14.53249857,0.042083913,5.715778243,0.782303172,0.047669042,0.00264321,0.315904991,0.204072653,0.21444355,0.32058274,0.451691556,0.134599454,0.202599459,0.157218673,0.02443796,0.012114339,0.009284312,0.35048019
20,6831.265108,10.80886851,10172.82055,10.82768747,4261.285049,10.75271688,0.05849222,8.047157543,0.735232475,0.045717112,0.004607898,0.266347283,0.195677997,0.216993863,0.364550373,0.447020377,0.074173148,0.234519942,0.358002044,0.019687731,0.002341798,3.33E-06,0.351486296
21,3864.944895,8.119544917,6749.000375,8.129775988,2364.12217,8.083748246,0.058432552,6.045881051,0.737650438,0.045906509,0.004278124,0.317483243,0.204514649,0.247031437,0.364751296,0.464172622,0.117898713,0.27109418,0.303508992,0.010438588,0.003059885,0.091676744,0.34850238
22,5722.219356,13.2949864,9033.382674,13.30658965,4034.63577,13.27289063,0.04619851,8.539822549,0.697249909,0.043563238,0.003870517,0.199311345,0.223340816,0.224937067,0.390384459,0.463123183,0.144702169,0.219788313,0.30711173,0.030270817,0.007848444,0.013950342,0.348457797
23,12195.94812,13.70042492,14449.46342,13.71113334,9043.426979,13.64929604,0.048687661,6.446761986,0.685004694,0.032086123,0.003886855,0.32729895,0.272815157,0.194307965,0.366761705,0.46558506,0.058120514,0.130144354,0.325917712,0.027923018,0.010242628,0.002906806,0.354008049
24,4861.04907,6.259602318,7632.540973,6.267113748,3042.977446,6.226376061,0.051583622,8.200068676,0.759797631,0.047647023,0.003589363,0.251557292,0.216274493,0.274346704,0.360312879,0.447843987,0.114407264,0.128336775,0.404165197,0.042547014,0.027680218,2.24E-06,0.349548258
25,6946.59857,8.984995499,11279.68199,8.987706531,5728.754733,8.945465047,0.039761645,10.26578609,0.869698644,0.041916655,0.002988586,0.246393854,0.216328046,0.198294211,0.366428399,0.444257103,0.062740051,0.288453965,0.435464913,0.025286429,0.001775336,1.38E-08,0.345649483
26,2586.487363,6.298505917,6501.794118,6.30918019,1174.290591,6.246515095,0.046978968,5.908380176,0.817543903,0.048618019,0.003084911,0.278404388,0.222601216,0.247238221,0.385101616,0.439777732,0.092724812,0.287875936,0.180604678,0.014532139,0.003958585,0.020325876,0.343567133
27,4518.750088,5.562104872,6413.501039,5.56165496,2933.360227,5.542363758,0.04029766,10.82082523,0.812824463,0.039726838,0.003389164,0.250849215,0.269453643,0.238192711,0.395051257,0.45938996,0.091541894,0.298823163,0.323201262,0.043669581,0.004520289,0.071740783,0.345317251
28,21692.17812,10.95696776,24277.27782,10.96264998,18998.95847,10.91778686,0.045363036,6.358020415,0.792227747,0.049105057,0.002273953,0.230533858,0.23545681,0.267815676,0.370439333,0.454216423,0.062975583,0.222965528,0.17603021,0.03575097,0.007803218,0.004245677,0.347381803
